"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"부채 미보유","소득3분위","자산2분위","가구주 연령 (세)",52.2,50.3,49.9
"부채 미보유","소득3분위","자산2분위","경상소득(전년도) (만원)",5308,5671,5628
"부채 미보유","소득3분위","자산2분위","자산 (만원)",13877,14359,14008
"부채 미보유","소득3분위","자산2분위","부채 (만원)",-,0,0
"부채 미보유","소득3분위","자산2분위","원리금상환액(전년도) (만원)",169,301,243
"부채 미보유","소득3분위","자산2분위","순자산액 (만원)",13877,14359,14008
"부채 미보유","소득3분위","자산3분위","가구분포 (%)",1.6,1.7,1.5
"부채 미보유","소득3분위","자산3분위","가구원수 (명)",2.4,2.3,2.2
"부채 미보유","소득3분위","자산3분위","가구주 연령 (세)",56.2,58.1,57.8
"부채 미보유","소득3분위","자산3분위","경상소득(전년도) (만원)",5398,5667,5783
"부채 미보유","소득3분위","자산3분위","자산 (만원)",29988,31139,30014
"부채 미보유","소득3분위","자산3분위","부채 (만원)",-,0,0
"부채 미보유","소득3분위","자산3분위","원리금상환액(전년도) (만원)",376,366,413
"부채 미보유","소득3분위","자산3분위","순자산액 (만원)",29988,31139,30014
"부채 미보유","소득3분위","자산4분위","가구분포 (%)",1.1,1.2,1.3
"부채 미보유","소득3분위","자산4분위","가구원수 (명)",2.5,2.4,2.4
"부채 미보유","소득3분위","자산4분위","가구주 연령 (세)",61.3,61.9,60.5
"부채 미보유","소득3분위","자산4분위","경상소득(전년도) (만원)",5391,5783,5842
"부채 미보유","소득3분위","자산4분위","자산 (만원)",56702,56751,56491
"부채 미보유","소득3분위","자산4분위","부채 (만원)",-,0,0
"부채 미보유","소득3분위","자산4분위","원리금상환액(전년도) (만원)",258,607,134
"부채 미보유","소득3분위","자산4분위","순자산액 (만원)",56702,56751,56491
"부채 미보유","소득3분위","자산5분위","가구분포 (%)",0.6,0.5,0.6
"부채 미보유","소득3분위","자산5분위","가구원수 (명)",2.3,2.2,2.1
"부채 미보유","소득3분위","자산5분위","가구주 연령 (세)",63.8,61.1,63.3
"부채 미보유","소득3분위","자산5분위","경상소득(전년도) (만원)",5527,5817,5740
"부채 미보유","소득3분위","자산5분위","자산 (만원)",122433,115177,128038
"부채 미보유","소득3분위","자산5분위","부채 (만원)",-,0,0
"부채 미보유","소득3분위","자산5분위","원리금상환액(전년도) (만원)",71,6,56
"부채 미보유","소득3분위","자산5분위","순자산액 (만원)",122433,115177,128038
"부채 미보유","소득4분위","전체","가구분포 (%)",4.9,5.3,5.8
"부채 미보유","소득4분위","전체","가구원수 (명)",2.9,2.7,2.7
"부채 미보유","소득4분위","전체","가구주 연령 (세)",54.0,53.5,53.4
"부채 미보유","소득4분위","전체","경상소득(전년도) (만원)",8087,8559,8719
"부채 미보유","소득4분위","전체","자산 (만원)",51333,49923,49598
"부채 미보유","소득4분위","전체","부채 (만원)",-,0,0
"부채 미보유","소득4분위","전체","원리금상환액(전년도) (만원)",403,314,739
"부채 미보유","소득4분위","전체","순자산액 (만원)",51333,49923,49598
"부채 미보유","소득4분위","자산1분위","가구분포 (%)",0.4,0.5,0.5
"부채 미보유","소득4분위","자산1분위","가구원수 (명)",2.5,2.4,2.5
"부채 미보유","소득4분위","자산1분위","가구주 연령 (세)",49.7,47.6,46.4
"부채 미보유","소득4분위","자산1분위","경상소득(전년도) (만원)",7688,8186,8185
"부채 미보유","소득4분위","자산1분위","자산 (만원)",3322,4175,4190
"부채 미보유","소득4분위","자산1분위","부채 (만원)",-,0,0
"부채 미보유","소득4분위","자산1분위","원리금상환액(전년도) (만원)",175,303,728
"부채 미보유","소득4분위","자산1분위","순자산액 (만원)",3322,4175,4190
"부채 미보유","소득4분위","자산2분위","가구분포 (%)",0.9,1.1,1.2
"부채 미보유","소득4분위","자산2분위","가구원수 (명)",3.0,2.7,2.5
"부채 미보유","소득4분위","자산2분위","가구주 연령 (세)",52.7,49.4,47.7
"부채 미보유","소득4분위","자산2분위","경상소득(전년도) (만원)",7906,8430,8587
"부채 미보유","소득4분위","자산2분위","자산 (만원)",15086,15348,15126
"부채 미보유","소득4분위","자산2분위","부채 (만원)",-,0,0
"부채 미보유","소득4분위","자산2분위","원리금상환액(전년도) (만원)",354,440,788
"부채 미보유","소득4분위","자산2분위","순자산액 (만원)",15086,15348,15126
"부채 미보유","소득4분위","자산3분위","가구분포 (%)",1.3,1.5,1.6
"부채 미보유","소득4분위","자산3분위","가구원수 (명)",2.8,2.7,2.8
"부채 미보유","소득4분위","자산3분위","가구주 연령 (세)",53.2,51.4,53.8
"부채 미보유","소득4분위","자산3분위","경상소득(전년도) (만원)",8073,8575,8704
"부채 미보유","소득4분위","자산3분위","자산 (만원)",30913,30937,31028
"부채 미보유","소득4분위","자산3분위","부채 (만원)",-,0,0
"부채 미보유","소득4분위","자산3분위","원리금상환액(전년도) (만원)",370,309,635
"부채 미보유","소득4분위","자산3분위","순자산액 (만원)",30913,30937,31028
"부채 미보유","소득4분위","자산4분위","가구분포 (%)",1.4,1.3,1.5
"부채 미보유","소득4분위","자산4분위","가구원수 (명)",2.8,2.8,2.6
"부채 미보유","소득4분위","자산4분위","가구주 연령 (세)",54.1,55.8,55.9
"부채 미보유","소득4분위","자산4분위","경상소득(전년도) (만원)",8188,8677,8903
"부채 미보유","소득4분위","자산4분위","자산 (만원)",58472,57078,57895
"부채 미보유","소득4분위","자산4분위","부채 (만원)",-,0,0
"부채 미보유","소득4분위","자산4분위","원리금상환액(전년도) (만원)",669,345,747
"부채 미보유","소득4분위","자산4분위","순자산액 (만원)",58472,57078,57895
"부채 미보유","소득4분위","자산5분위","가구분포 (%)",1.0,1.0,1.0
"부채 미보유","소득4분위","자산5분위","가구원수 (명)",2.9,2.9,2.8
"부채 미보유","소득4분위","자산5분위","가구주 연령 (세)",57.9,60.8,59.5
"부채 미보유","소득4분위","자산5분위","경상소득(전년도) (만원)",8280,8695,8919
"부채 미보유","소득4분위","자산5분위","자산 (만원)",119587,128629,133612
"부채 미보유","소득4분위","자산5분위","부채 (만원)",-,0,0
"부채 미보유","소득4분위","자산5분위","원리금상환액(전년도) (만원)",211,147,848
"부채 미보유","소득4분위","자산5분위","순자산액 (만원)",119587,128629,133612
"부채 미보유","소득5분위","전체","가구분포 (%)",4.5,4.7,5.1
"부채 미보유","소득5분위","전체","가구원수 (명)",3.3,3.3,3.3
"부채 미보유","소득5분위","전체","가구주 연령 (세)",52.8,53.4,53.8
"부채 미보유","소득5분위","전체","경상소득(전년도) (만원)",16047,16959,17694
"부채 미보유","소득5분위","전체","자산 (만원)",97249,98361,100629
"부채 미보유","소득5분위","전체","부채 (만원)",-,0,0
"부채 미보유","소득5분위","전체","원리금상환액(전년도) (만원)",1159,930,949
"부채 미보유","소득5분위","전체","순자산액 (만원)",97249,98361,100629
"부채 미보유","소득5분위","자산1분위","가구분포 (%)",0.1,0.0,0.1
"부채 미보유","소득5분위","자산1분위","가구원수 (명)",2.9,2.9,3.0
"부채 미보유","소득5분위","자산1분위","가구주 연령 (세)",50.6,56.5,48.7
"부채 미보유","소득5분위","자산1분위","경상소득(전년도) (만원)",11668,11660,14035
"부채 미보유","소득5분위","자산1분위","자산 (만원)",4511,4187,4436
"부채 미보유","소득5분위","자산1분위","부채 (만원)",-,0,0
"부채 미보유","소득5분위","자산1분위","원리금상환액(전년도) (만원)",676,0,52
"부채 미보유","소득5분위","자산1분위","순자산액 (만원)",4511,4187,4436
"부채 미보유","소득5분위","자산2분위","가구분포 (%)",0.3,0.2,0.3
"부채 미보유","소득5분위","자산2분위","가구원수 (명)",3.1,3.2,3.2
"부채 미보유","소득5분위","자산2분위","가구주 연령 (세)",50.9,49.9,50.1
"부채 미보유","소득5분위","자산2분위","경상소득(전년도) (만원)",12303,13705,14127
"부채 미보유","소득5분위","자산2분위","자산 (만원)",15679,16075,14708
"부채 미보유","소득5분위","자산2분위","부채 (만원)",-,0,0
"부채 미보유","소득5분위","자산2분위","원리금상환액(전년도) (만원)",652,761,2527
"부채 미보유","소득5분위","자산2분위","순자산액 (만원)",15679,16075,14708
"부채 미보유","소득5분위","자산3분위","가구분포 (%)",0.7,0.7,0.7
"부채 미보유","소득5분위","자산3분위","가구원수 (명)",3.2,3.3,3.2
"부채 미보유","소득5분위","자산3분위","가구주 연령 (세)",51.4,52.4,53.1
"부채 미보유","소득5분위","자산3분위","경상소득(전년도) (만원)",12578,13072,13607
"부채 미보유","소득5분위","자산3분위","자산 (만원)",31500,31968,31872
"부채 미보유","소득5분위","자산3분위","부채 (만원)",-,0,0
"부채 미보유","소득5분위","자산3분위","원리금상환액(전년도) (만원)",500,670,306
"부채 미보유","소득5분위","자산3분위","순자산액 (만원)",31500,31968,31872
"부채 미보유","소득5분위","자산4분위","가구분포 (%)",1.2,1.4,1.6
"부채 미보유","소득5분위","자산4분위","가구원수 (명)",3.3,3.3,3.3
"부채 미보유","소득5분위","자산4분위","가구주 연령 (세)",51.9,52.3,51.6
"부채 미보유","소득5분위","자산4분위","경상소득(전년도) (만원)",14979,14845,16176
"부채 미보유","소득5분위","자산4분위","자산 (만원)",58550,58794,61144
"부채 미보유","소득5분위","자산4분위","부채 (만원)",-,0,0
"부채 미보유","소득5분위","자산4분위","원리금상환액(전년도) (만원)",655,1551,763
"부채 미보유","소득5분위","자산4분위","순자산액 (만원)",58550,58794,61144
"부채 미보유","소득5분위","자산5분위","가구분포 (%)",2.2,2.4,2.5
"부채 미보유","소득5분위","자산5분위","가구원수 (명)",3.3,3.3,3.3
"부채 미보유","소득5분위","자산5분위","가구주 연령 (세)",54.1,54.6,55.9
"부채 미보유","소득5분위","자산5분위","경상소득(전년도) (만원)",18487,19759,20404
"부채 미보유","소득5분위","자산5분위","자산 (만원)",155706,150752,159047
"부채 미보유","소득5분위","자산5분위","부채 (만원)",-,0,0
"부채 미보유","소득5분위","자산5분위","원리금상환액(전년도) (만원)",1751,662,1084
"부채 미보유","소득5분위","자산5분위","순자산액 (만원)",155706,150752,159047
