"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"전체","소득3분위","전체","가구원수 (명)",2.5,2.4,2.3
"전체","소득3분위","전체","가구주 연령 (세)",52.3,51.7,51.9
"전체","소득3분위","전체","경상소득(전년도) (만원)",5388,5700,5805
"전체","소득3분위","전체","자산 (만원)",41948,41055,42516
"전체","소득3분위","전체","부채 (만원)",7443,7333,8059
"전체","소득3분위","전체","원리금상환액(전년도) (만원)",1089,1152,1233
"전체","소득3분위","전체","순자산액 (만원)",34505,33722,34456
"전체","소득3분위","자산1분위","가구분포 (%)",2.6,2.7,2.6
"전체","소득3분위","자산1분위","가구원수 (명)",2.4,2.1,2.1
"전체","소득3분위","자산1분위","가구주 연령 (세)",48.4,46.2,47.2
"전체","소득3분위","자산1분위","경상소득(전년도) (만원)",5285,5509,5624
"전체","소득3분위","자산1분위","자산 (만원)",3641,3613,3679
"전체","소득3분위","자산1분위","부채 (만원)",1701,1582,1495
"전체","소득3분위","자산1분위","원리금상환액(전년도) (만원)",763,608,609
"전체","소득3분위","자산1분위","순자산액 (만원)",1940,2032,2184
"전체","소득3분위","자산2분위","가구분포 (%)",5.2,4.8,5.0
"전체","소득3분위","자산2분위","가구원수 (명)",2.4,2.2,2.1
"전체","소득3분위","자산2분위","가구주 연령 (세)",48.9,48.5,48.4
"전체","소득3분위","자산2분위","경상소득(전년도) (만원)",5339,5651,5709
"전체","소득3분위","자산2분위","자산 (만원)",14524,14756,14525
"전체","소득3분위","자산2분위","부채 (만원)",3704,3176,3130
"전체","소득3분위","자산2분위","원리금상환액(전년도) (만원)",920,1000,948
"전체","소득3분위","자산2분위","순자산액 (만원)",10820,11580,11395
"전체","소득3분위","자산3분위","가구분포 (%)",5.4,5.8,5.6
"전체","소득3분위","자산3분위","가구원수 (명)",2.6,2.5,2.3
"전체","소득3분위","자산3분위","가구주 연령 (세)",51.4,50.9,51.1
"전체","소득3분위","자산3분위","경상소득(전년도) (만원)",5404,5702,5852
"전체","소득3분위","자산3분위","자산 (만원)",30268,30650,30115
"전체","소득3분위","자산3분위","부채 (만원)",6022,6291,7171
"전체","소득3분위","자산3분위","원리금상환액(전년도) (만원)",1008,1056,1378
"전체","소득3분위","자산3분위","순자산액 (만원)",24246,24359,22945
"전체","소득3분위","자산4분위","가구분포 (%)",4.0,4.2,4.2
"전체","소득3분위","자산4분위","가구원수 (명)",2.6,2.6,2.5
"전체","소득3분위","자산4분위","가구주 연령 (세)",55.2,54.9,54.7
"전체","소득3분위","자산4분위","경상소득(전년도) (만원)",5455,5799,5939
"전체","소득3분위","자산4분위","자산 (만원)",56109,56179,57028
"전체","소득3분위","자산4분위","부채 (만원)",9853,10346,10839
"전체","소득3분위","자산4분위","원리금상환액(전년도) (만원)",1518,1590,1553
"전체","소득3분위","자산4분위","순자산액 (만원)",46256,45834,46189
"전체","소득3분위","자산5분위","가구분포 (%)",2.8,2.4,2.6
"전체","소득3분위","자산5분위","가구원수 (명)",2.5,2.5,2.4
"전체","소득3분위","자산5분위","가구주 연령 (세)",60.1,60.7,61.0
"전체","소득3분위","자산5분위","경상소득(전년도) (만원)",5446,5840,5853
"전체","소득3분위","자산5분위","자산 (만원)",132162,135256,141046
"전체","소득3분위","자산5분위","부채 (만원)",19198,19486,21905
"전체","소득3분위","자산5분위","원리금상환액(전년도) (만원)",1246,1549,1587
"전체","소득3분위","자산5분위","순자산액 (만원)",112965,115770,119141
"전체","소득4분위","전체","가구분포 (%)",20.0,20.0,20.0
"전체","소득4분위","전체","가구원수 (명)",3.0,3.0,2.9
"전체","소득4분위","전체","가구주 연령 (세)",50.8,50.9,51.4
"전체","소득4분위","전체","경상소득(전년도) (만원)",8111,8605,8847
"전체","소득4분위","전체","자산 (만원)",58361,59944,62322
"전체","소득4분위","전체","부채 (만원)",11417,11177,11256
"전체","소득4분위","전체","원리금상환액(전년도) (만원)",1485,1635,1710
"전체","소득4분위","전체","순자산액 (만원)",46944,48767,51066
"전체","소득4분위","자산1분위","가구분포 (%)",1.0,1.1,1.0
"전체","소득4분위","자산1분위","가구원수 (명)",2.9,2.8,2.6
"전체","소득4분위","자산1분위","가구주 연령 (세)",50.3,48.5,47.6
"전체","소득4분위","자산1분위","경상소득(전년도) (만원)",7736,8342,8410
"전체","소득4분위","자산1분위","자산 (만원)",3547,4116,4072
"전체","소득4분위","자산1분위","부채 (만원)",2401,1456,1530
"전체","소득4분위","자산1분위","원리금상환액(전년도) (만원)",816,890,900
"전체","소득4분위","자산1분위","순자산액 (만원)",1147,2660,2542
"전체","소득4분위","자산2분위","가구분포 (%)",3.1,3.0,3.1
"전체","소득4분위","자산2분위","가구원수 (명)",3.0,2.8,2.7
"전체","소득4분위","자산2분위","가구주 연령 (세)",49.0,48.6,48.3
"전체","소득4분위","자산2분위","경상소득(전년도) (만원)",7905,8371,8643
"전체","소득4분위","자산2분위","자산 (만원)",15820,15848,15264
